"","live1","live2","live3","mean","sd","stn","depthid","substrate"
"stn7-d3-bulk-L",38.2090177627738,36.4696631801593,37.9941290938612,37.5576033455981,0.948290376249837,"stn7","d3","L"
"stn7-d3-bulk-p1",37.5143171131331,30.2222740320238,45.6517432079732,37.7961114510433,7.71859351174497,"stn7","d3","p1"
"stn7-d3-bulk-p2",10.868182060557,11.1573026449217,14.7783595994515,12.2679481016434,2.17888092706352,"stn7","d3","p2"
"stn7-d3-bulk-p3",3.54706092197697,3.69421575119827,3.3042597553974,3.51517880952421,0.196923262937878,"stn7","d3","p3"
"stn7-d3-bulk-p4",4.14205948284387,6.13787208771653,1.47287050744806,3.91760069266949,2.34058673142905,"stn7","d3","p4"
"stn7-d4-bulk-a",2.54429717516565,0.538991106385792,0.556819345351964,1.2133692089678,1.15265189885404,"stn7","d4","a"
"stn7-d4-bulk-b",1.93140564855777,2.33680449560088,5.99977388711852,3.42266134375905,2.24103075662774,"stn7","d4","b"
"stn7-d4-bulk-L",6.2797121573391,8.80445544626257,8.07083115060794,7.71833291806987,1.29875841544834,"stn7","d4","L"
"stn7-d4-bulk-p1",4.22551293290974,3.20577087733548,0.564844581275461,2.66537613050689,1.88921757798411,"stn7","d4","p1"
"stn7-d4-bulk-p2",9.78763345384728,4.21041162156174,4.07739342068254,6.02514616536385,3.25908827855902,"stn7","d4","p2"
"stn7-d4-bulk-p3",3.9662077372637,0.123074860880675,0.0128095408147688,1.36736404631971,2.25133982500906,"stn7","d4","p3"
"stn7-d4-bulk-p4",14.9817050328913,19.720044688573,21.7216794437402,18.8078097217348,3.46134991596723,"stn7","d4","p4"
