"","mean.kcrate.nM.hr","sd.kcrate.nM.hr","stn","depthid","site","expt","substrate","timepoint"
"stn7-d1-bulk-lam-t3",3.71,0.99,"7","d1","7.d1","bulk","lam","t3"
"stn7-d1-bulk-pul-t1",1.37,2.38,"7","d1","7.d1","bulk","pul","t1"
"stn7-d1-bulk-xyl-t2",5.47,1.2,"7","d1","7.d1","bulk","xyl","t2"
"stn7-d2-bulk-ara-t6",0.78,0.04,"7","d2","7.d2","bulk","ara","t6"
"stn7-d2-bulk-chon-t1",17.13,2.82,"7","d2","7.d2","bulk","chon","t1"
"stn7-d2-bulk-fuc-t3",3.17,2.52,"7","d2","7.d2","bulk","fuc","t3"
"stn7-d2-bulk-lam-t2",8.3,1.35,"7","d2","7.d2","bulk","lam","t2"
"stn7-d2-bulk-pul-t1",3.82,3.64,"7","d2","7.d2","bulk","pul","t1"
"stn7-d2-bulk-xyl-t5",1.01,0.79,"7","d2","7.d2","bulk","xyl","t5"
"stn7-d3-bulk-ara-t6",0.01,0.01,"7","d3","7.d3","bulk","ara","t6"
"stn7-d3-bulk-chon-t2",10.08,8.31,"7","d3","7.d3","bulk","chon","t2"
"stn7-d3-bulk-fuc-t3",1.32,1.14,"7","d3","7.d3","bulk","fuc","t3"
"stn7-d3-bulk-lam-t1",13.02,10.92,"7","d3","7.d3","bulk","lam","t1"
"stn7-d3-bulk-pul-t2",4.93,8.54,"7","d3","7.d3","bulk","pul","t2"
"stn7-d3-bulk-xyl-t4",4.56,0.65,"7","d3","7.d3","bulk","xyl","t4"
"stn7-d4-bulk-ara-t3",0.23,0.28,"7","d4","7.d4","bulk","ara","t3"
"stn7-d4-bulk-chon-t4",3.2,2.08,"7","d4","7.d4","bulk","chon","t4"
"stn7-d4-bulk-fuc-t1",2.58,2.88,"7","d4","7.d4","bulk","fuc","t1"
"stn7-d4-bulk-lam-t1",3.66,6.08,"7","d4","7.d4","bulk","lam","t1"
"stn7-d4-bulk-pul-t1",2.55,2.43,"7","d4","7.d4","bulk","pul","t1"
"stn7-d4-bulk-xyl-t1",0.38,0.24,"7","d4","7.d4","bulk","xyl","t1"
"stn7-d5-bulk-ara-t1",2.86,1.21,"7","d5","7.d5","bulk","ara","t1"
"stn7-d5-bulk-chon-t3",5.84,0.68,"7","d5","7.d5","bulk","chon","t3"
